연번,설치위치,주소,운영시간,비고
1,연수구청1호기(연수구청1층 로비),인천광역시 연수구 원인재로115,(평일) 07:00~19:00,청사 출입통제
2,연수구청2호기(연수구청1층 로비),인천광역시 연수구 연수구 원인재로115,(평일) 07:00~19:00,청사 출입통제
3,연수구청3호기(연수구청 한마음광장),인천광역시 연수구 연수구 원인재로115,24시간(연중무휴),
4,연수구청민원여권과(법원)(1층 민원실 내),인천광역시 연수구 원인재로115,(평일) 09:00~18:00,법원 통합무인발급기
5,옥련2동 행정복지센터(1층 민원실),인천광역시 연수구 옥련로82,(평일) 09:00~18:00,부동산 등기사항증명서 발급불가
6,연수1동 행정복지센터(1층 민원실),인천광역시 연수구 함박뫼로127,(평일) 09:00~18:00,
7,청학동 행정복지센터(1층 민원실),인천광역시 연수구 비류대로287,(평일) 09:00~18:00,
8,동춘1동 행정복지센터(1층 민원실),인천광역시 연수구 먼우금로117,(평일) 09:00~18:00,
9,송도1동 행정복지센터1호기(1층 민원실),인천광역시 연수구 하모니로35번길8,(평일) 09:00~18:00,
10,송도1동 행정복지센터2호기(1층 민원실),인천광역시 연수구 하모니로35번길8,(평일) 09:00~18:00,
11,송도2동 행정복지센터1호기(1층 민원실),인천광역시 연수구 신송로248,(평일) 09:00~18:00,
12,송도2동 행정복지센터2호기(행정복지센터 외부부스),인천광역시 연수구 신송로248,24시간(연중무휴),
13,송도3동 행정복지센터(행정)(1층 민원실),인천광역시 연수구 송도교육로63,(평일) 09:00~18:00,
14,송도3동 행정복지센터(법원)(1층 민원실),인천광역시 연수구 송도교육로63,(평일) 09:00~18:00,법원 통합무인발급기
15,송도4동 행정복지센터(민원실),인천광역시 연수구 컨벤시아대로252번길79,(평일) 09:00~18:00,
16,송도5동 행정복지센터(1층 민원실),인천광역시 연수구 센트럴로418,(평일) 09:00~18:00,
17,연수세무서(1층 민원실),인천광역시 연수구 인천타워대로323센트로드A동,(평일) 09:00~18:00,
18,e편한세상송도아파트정문(옥외부스),인천광역시 연수구 랜드마크로113,24시간(연중무휴),"가족관계,부동산 등기사항증명서 발급불가"
19,이마트 연수점(2층 지센 의류 매장 옆 엘리베이터 방향),인천광역시 연수구 경원대로184,10:00~폐장,"가족관계,부동산 등기사항증명서 발급불가"
20,홈플러스 송도점(지하1층 고객센터),인천광역시 연수구 송도국제대로165,10:00~폐장,"가족관계,부동산 등기사항증명서 발급불가"
21,원인재역사(원인재역5번 출입구),인천광역시 연수구 벚꽃로195,24시간(연중무휴),부동산 등기사항증명서 발급불가
22,연수구청 제2청사,인천광역시 연수구 연구단지로14,(평일) 09:00~18:00,부동산 등기사항증명서 발급불가
23,송도체육센터,인천광역시 연수구 송도과학로51번길80,(평일) 06:00~21:00(토요일) 09:00~17:00,부동산 등기사항증명서 발급불가
24,연수구청 제2청사(법원),인천광역시 연수구 연구단지로14,(평일) 09:00~18:00,법원 통합무인발급기
