설치장소,설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
응암역,지하 중층,(평일)06:00~24:00,주민등록등본+주민등록초본+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 증산로 477 지하,서울특별시 은평구 역촌동 85-41,서울특별시 은평구청,02-351-6416,37.6077980000,126.9211590000,2026-01-28
녹번동 주민센터,1층 민원실 밖,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 은평로 195(녹번동),서울특별시 은평구 녹번동 84,서울특별시 은평구 녹번동주민센터,02-351-5008,37.6024510000,126.9293310000,2026-01-28
녹번동 주민센터,1층 민원실 밖,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 은평로 195(녹번동),서울특별시 은평구 녹번동 84,서울특별시 은평구 녹번동주민센터,02-351-5008,37.6024510000,126.9293310000,2026-01-28
불광제1동 주민센터,1층현관문 들어오자마자 좌측(거울부착된 곳),(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 진흥로15길 10(불광동),서울특별시 은평구 불광동 613-1,서울특별시 은평구 불광제1동주민센터,02-351-5040,37.6103126000,126.9320759000,2026-01-28
불광제1동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 진흥로15길 10(불광동),서울특별시 은평구 불광동 613-1,서울특별시 은평구 불광제1동주민센터,02-351-5040,37.6103126000,126.9320759000,2026-01-28
불광제2동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 연서로41길 16(불광동),서울특별시 은평구 불광동 81- 2,서울특별시 은평구 불광제2동주민센터,02-351-5068,37.6264504000,126.9272604000,2026-01-28
갈현제1동 주민센터,1층 현관입구,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 갈현로 301(갈현동),서울특별시 은평구 갈현동 436-14,서울특별시 은평구 갈현제1동주민센터,02-351-5100,37.6236460000,126.9166610000,2026-01-28
갈현제2동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 연서로27길 31-6(갈현동),서울특별시 은평구 갈현동 502-3,서울특별시 은평구 갈현제2동주민센터,02-351-5129,37.6184770000,126.9157497000,2026-01-28
구산동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 갈현로17길 10(구산동),서울특별시 은평구 구산동 27-5,서울특별시 은평구 구산동주민센터,02-351-5159,37.6117150000,126.9103410000,2026-01-28
대조동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 연서로20길 24-3(대조동),서울특별시 은평구 대조동 214-7,서울특별시 은평구 대조동주민센터,02-351-5190,37.6141350000,126.9207930000,2026-01-28
